"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 16, 2019","0.000075","0.000076","0.000077","0.000075","772.33K","-1.47%"
"Mar 15, 2019","0.000076","0.000077","0.000077","0.000076","567.91K","0.00%"
"Mar 14, 2019","0.000077","0.000074","0.000078","0.000073","1.58M","3.37%"
"Mar 13, 2019","0.000074","0.000073","0.000075","0.000073","1.27M","1.54%"
"Mar 12, 2019","0.000073","0.000072","0.000074","0.000071","970.91K","1.59%"
"Mar 11, 2019","0.000072","0.000072","0.000073","0.000070","950.14K","0.00%"
"Mar 10, 2019","0.000072","0.000071","0.000072","0.000071","407.47K","0.79%"
"Mar 09, 2019","0.000071","0.000071","0.000074","0.000071","969.79K","0.00%"
"Mar 08, 2019","0.000071","0.000072","0.000072","0.000070","1.03M","-0.89%"
"Mar 07, 2019","0.000072","0.000072","0.000073","0.000070","818.35K","0.00%"
"Mar 06, 2019","0.000072","0.000073","0.000073","0.000070","739.07K","0.00%"
"Mar 05, 2019","0.000073","0.000073","0.000075","0.000072","710.38K","-0.71%"
"Mar 04, 2019","0.000073","0.000074","0.000074","0.000072","949.23K","-1.72%"
"Mar 03, 2019","0.000075","0.000076","0.000077","0.000074","1.11M","-2.02%"
"Mar 02, 2019","0.000076","0.000077","0.000077","0.000075","477.03K","-1.07%"
"Mar 01, 2019","0.000077","0.000074","0.000078","0.000074","1.03M","3.59%"
"Feb 28, 2019","0.000074","0.000075","0.000075","0.000073","528.13K","0.00%"
"Feb 27, 2019","0.000075","0.000074","0.000075","0.000074","642.26K","0.00%"
"Feb 26, 2019","0.000074","0.000074","0.000075","0.000074","485.50K","0.00%"
"Feb 25, 2019","0.000074","0.000075","0.000075","0.000073","839.94K","0.00%"
"Feb 24, 2019","0.000075","0.000077","0.000078","0.000074","2.73M","-3.00%"
"Feb 23, 2019","0.000077","0.000075","0.000077","0.000075","909.19K","2.75%"
"Feb 22, 2019","0.000075","0.000076","0.000077","0.000074","1.63M","-0.83%"
"Feb 21, 2019","0.000076","0.000079","0.000079","0.000075","795.19K","-3.96%"
"Feb 20, 2019","0.000079","0.000078","0.000079","0.000077","878.91K","1.10%"
"Feb 19, 2019","0.000078","0.000078","0.000080","0.000076","2.27M","0.00%"
"Feb 18, 2019","0.000078","0.000076","0.000079","0.000074","1.44M","3.19%"
"Feb 17, 2019","0.000076","0.000076","0.000078","0.000075","1.26M","0.00%"
"Feb 16, 2019","0.000076","0.000075","0.000076","0.000074","480.18K","0.68%"
"Feb 15, 2019","0.000075","0.000074","0.000076","0.000073","1.16M","1.25%"
"Feb 14, 2019","0.000074","0.000075","0.000075","0.000073","500.74K","0.00%"
"Feb 13, 2019","0.000075","0.000075","0.000076","0.000074","343.47K","-0.76%"
"Feb 12, 2019","0.000075","0.000074","0.000076","0.000073","858.08K","2.21%"
"Feb 11, 2019","0.000074","0.000077","0.000077","0.000073","989.77K","-4.28%"
"Feb 10, 2019","0.000077","0.000076","0.000079","0.000075","680.60K","2.23%"
"Feb 09, 2019","0.000075","0.000076","0.000078","0.000074","507.17K","-1.04%"
"Feb 08, 2019","0.000076","0.000075","0.000077","0.000074","1.84M","1.67%"
"Feb 07, 2019","0.000075","0.000071","0.000076","0.000071","859.22K","5.18%"
"Feb 06, 2019","0.000071","0.000073","0.000073","0.000070","1.24M","-3.16%"
"Feb 05, 2019","0.000073","0.000074","0.000074","0.000073","564.97K","-0.80%"
"Feb 04, 2019","0.000074","0.000073","0.000075","0.000073","1.93M","1.27%"
"Feb 03, 2019","0.000073","0.000075","0.000075","0.000073","823.51K","-2.39%"
"Feb 02, 2019","0.000075","0.000074","0.000075","0.000072","1.30M","1.41%"
"Feb 01, 2019","0.000074","0.000074","0.000074","0.000072","1.07M","-0.78%"
"Jan 31, 2019","0.000074","0.000075","0.000079","0.000074","1.18M","-1.30%"
"Jan 30, 2019","0.000075","0.000074","0.000076","0.000073","610.08K","2.22%"
"Jan 29, 2019","0.000074","0.000074","0.000076","0.000073","1.11M","0.00%"
"Jan 28, 2019","0.000074","0.000076","0.000076","0.000072","2.61M","-2.34%"
"Jan 27, 2019","0.000076","0.000078","0.000079","0.000074","2.38M","-3.41%"
"Jan 26, 2019","0.000078","0.000080","0.000080","0.000078","1.57M","-1.57%"
"Jan 25, 2019","0.000080","0.000082","0.000082","0.000079","1.06M","-2.38%"
"Jan 24, 2019","0.000082","0.000083","0.000083","0.000081","1.83M","-1.21%"
"Jan 23, 2019","0.000083","0.000085","0.000085","0.000081","3.85M","-2.63%"
"Jan 22, 2019","0.000085","0.000085","0.000086","0.000083","1.78M","0.00%"
"Jan 21, 2019","0.000085","0.000083","0.000087","0.000083","928.87K","2.47%"
"Jan 20, 2019","0.000083","0.000084","0.000085","0.000082","1.03M","-1.48%"
"Jan 19, 2019","0.000084","0.000084","0.000086","0.000084","862.87K","0.00%"
"Jan 18, 2019","0.000084","0.000084","0.000086","0.000083","666.92K","0.00%"
"Jan 17, 2019","0.000084","0.000082","0.000088","0.000081","1.78M","3.44%"
"Jan 16, 2019","0.000082","0.000082","0.000084","0.000080","1.35M","-0.80%"
"Jan 15, 2019","0.000082","0.000082","0.000084","0.000078","1.43M","0.00%"
"Jan 14, 2019","0.000082","0.000080","0.000083","0.000076","5.11M","2.98%"
"Jan 13, 2019","0.000080","0.000085","0.000085","0.000080","1.16M","-5.25%"
"Jan 12, 2019","0.000085","0.000085","0.000085","0.000082","434.18K","-0.61%"
"Jan 11, 2019","0.000085","0.000085","0.000087","0.000084","731.52K","0.00%"
"Jan 10, 2019","0.000085","0.000091","0.000092","0.000080","3.22M","-7.40%"
"Jan 09, 2019","0.000091","0.000090","0.000092","0.000090","397.10K","1.71%"
"Jan 08, 2019","0.000090","0.000091","0.000092","0.000088","989.51K","-1.34%"
"Jan 07, 2019","0.000091","0.000093","0.000093","0.000090","652.25K","-2.04%"
"Jan 06, 2019","0.000093","0.000096","0.000096","0.000093","1.49M","-3.10%"
"Jan 05, 2019","0.000096","0.000097","0.000098","0.000096","687.76K","-0.97%"
