Entity,Code,Day,"People vaccinated (cumulative, per hundred)"
Afghanistan,AFG,2021-02-22,0
Afghanistan,AFG,2021-02-28,0.020207573
Afghanistan,AFG,2021-03-16,0.13307427
Afghanistan,AFG,2021-04-07,0.29572058
Afghanistan,AFG,2021-04-22,0.59144115
Afghanistan,AFG,2021-05-11,1.1061872
Afghanistan,AFG,2021-05-20,1.1590793
Afghanistan,AFG,2021-05-24,1.1739293
Afghanistan,AFG,2021-05-26,1.1813347
Afghanistan,AFG,2021-05-27,1.1818326
Afghanistan,AFG,2021-05-30,1.1834393
Afghanistan,AFG,2021-06-02,1.187047
Afghanistan,AFG,2021-06-03,1.1873181
Afghanistan,AFG,2021-06-08,1.190157
Afghanistan,AFG,2021-06-14,1.1945559
Afghanistan,AFG,2021-06-22,1.4345603
Afghanistan,AFG,2021-06-27,1.600425
Afghanistan,AFG,2021-06-30,1.7230653
Afghanistan,AFG,2021-07-05,1.7899696
Afghanistan,AFG,2021-07-07,1.8118135
Afghanistan,AFG,2021-07-11,1.8308406
Afghanistan,AFG,2021-08-20,1.8988761
Afghanistan,AFG,2021-08-31,1.9049383
Afghanistan,AFG,2021-09-30,2.041953
Afghanistan,AFG,2021-11-14,8.69954
Afghanistan,AFG,2021-12-27,10.209401
Afghanistan,AFG,2022-01-09,10.740991
Afghanistan,AFG,2022-01-11,10.790889
Afghanistan,AFG,2022-01-13,10.85762
Afghanistan,AFG,2022-01-17,10.924229
Afghanistan,AFG,2022-01-19,10.966825
Afghanistan,AFG,2022-01-24,11.05632
Afghanistan,AFG,2022-01-26,11.117546
Afghanistan,AFG,2022-01-27,11.132352
Afghanistan,AFG,2022-01-31,11.224193
Afghanistan,AFG,2022-02-02,11.281099
Afghanistan,AFG,2022-02-07,11.420438
Afghanistan,AFG,2022-02-14,11.640095
Afghanistan,AFG,2022-02-20,11.832579
Afghanistan,AFG,2022-02-27,12.09265
Afghanistan,AFG,2022-03-06,12.205236
Afghanistan,AFG,2022-03-17,12.485668
Afghanistan,AFG,2022-03-22,12.525797
Afghanistan,AFG,2022-04-04,12.785127
Afghanistan,AFG,2022-04-14,12.930336
Afghanistan,AFG,2022-04-18,12.947458
Afghanistan,AFG,2022-04-26,13.0281105
Afghanistan,AFG,2022-04-27,13.029022
Afghanistan,AFG,2022-05-05,13.106544
Afghanistan,AFG,2022-05-08,13.111218
Afghanistan,AFG,2022-05-10,13.125799
Afghanistan,AFG,2022-05-15,13.20868
Afghanistan,AFG,2022-05-23,13.325815
Afghanistan,AFG,2022-06-01,13.447694
Afghanistan,AFG,2022-06-15,13.734188
Afghanistan,AFG,2022-06-21,13.873046
Afghanistan,AFG,2022-06-30,14.079464
Afghanistan,AFG,2022-07-10,14.182991
Afghanistan,AFG,2022-07-17,14.710635
Afghanistan,AFG,2022-07-19,17.594027
Afghanistan,AFG,2022-07-27,17.97663
